OMOP_CONCEPT_ID	TEST_NAME	MEASUREMENT_UNIT_PREFIX	MEASUREMENT_UNIT	IS_EXTRACTED	n_TEST_OUTCOME	n_subjects
-1	!pak.maitoigavasta-aineet	%	%	FALSE	130	130
-1	!pak.maitoigavasta-aineet			FALSE	16	16
-1	!pak.maitoiggvasta-aineet	%	%	FALSE	144	144
3001784	!psavapaanjatotaalinsuhde	%	%	FALSE	7	7
-1	(alv)huumeseulonta4a			FALSE	18	18
-1	(alv)huumeseulonta5a			FALSE	6	6
-1	(alv)huumeseulonta5b			FALSE	44	40
-1	(alv)huumeseulonta6a			FALSE	140	130
-1	(alv)huumeseulonta7a			FALSE	7	7
-1	(m)gluk120			FALSE	20	17
-1	-abcg2			FALSE	1450	1403
-1	-acantvi			FALSE	18	17
3028371	-activi			FALSE	61	61
3016845	-adenag			FALSE	71	62
3040853	-adennho			FALSE	1352	860
-1	-adenovirus,nukleiinihaponosoitus			FALSE	13	12
-1	-agglut			FALSE	693	562
-1	-aikaisemmintutkitunnäytteenkäsitteleminenmeetingissä			FALSE	7	7
-1	-albumiini,elektroforeesifraktio,osatutk2522	g/l	g/l	FALSE	6	6
-1	-albumiini,seerumi,elektroforeesifraktio(g/l)	g/l	g/l	FALSE	519	161
-1	-alfa-1-globuliini,elektroforeesifraktio,osatutk2522	g/l	g/l	FALSE	13	12
-1	-alfa-1-globuliini,seerumi,elektroforeesifraktio	g/l	g/l	FALSE	235	110
-1	-alfa-2-globuliini,eletroforeesifraktio,osatutk2522	g/l	g/l	FALSE	12	11
-1	-alfa-2-globuliini,seerumi,elektroforeesifraktio	g/l	g/l	FALSE	344	134
-1	-alk-pak			FALSE	52	36
-1	-alk-sul			FALSE	110	87
-1	-amebvr			FALSE	61	43
-1	-amyl			FALSE	188	121
3016771	-amyl	u/l	u/l	FALSE	1651	294
3016417	-amylp	u/l	u/l	FALSE	56	30
3016417	-amylp			FALSE	9	8
-1	-anaerobibakteeriviljely			FALSE	6	6
-1	-artriittitutkimus,lausunto			FALSE	21	20
-1	-askirje			FALSE	436	409
-1	-aspeag			FALSE	562	276
-1	-aspeag	index	index	FALSE	10	9
-1	-aspenho			FALSE	27	23
-1	-bakt			FALSE	6	6
-1	-bakteeri,nukleiinihappo(kval)			FALSE	31	18
-1	-bakteeri,nukleiinihappo-osoitus			FALSE	13	11
-1	-bakteeri,viljely			FALSE	55	47
-1	-bakteeri,värjäys			FALSE	33	28
-1	-bakteeriviljely,aerobi			FALSE	119	101
-1	-bakteeriviljely,anaerobi			FALSE	128	106
40769539	-baktnho			FALSE	5871	3472
3002619	-baktvi			FALSE	83	81
36305247	-baktvr			FALSE	1644	1341
3006315	-baso	%	%	FALSE	35	22
-1	-beeta-1-globuliini,elektroforeesifraktio,osatutk2522	g/l	g/l	FALSE	11	10
-1	-beeta-2-globuliini,elektroforeesifraktio,osatutk2522	g/l	g/l	FALSE	13	12
-1	-beta-1-globuliini,seerumi,elektroforeesifraktio	g/l	g/l	FALSE	282	114
-1	-beta-2-globuliini,seerumi,elektroforeesifraktio	g/l	g/l	FALSE	190	97
3006140	-bil	umol/l	umol/l	FALSE	149	88
-1	-bil			FALSE	34	30
3050099	-bkvnh			FALSE	197	56
3029187	-bnp	ng/l	ng/l	FALSE	29	8
-1	-bocanho			FALSE	13	13
-1	-bocavirus,nukleenihappo			FALSE	18	17
40765161	-bokanho			FALSE	831	512
3012477	-bopenho			FALSE	210	205
-1	-bopenho.			FALSE	368	252
-1	-bopevip			FALSE	11	11
3037875	-boppnho			FALSE	67	66
-1	-bordetellapertussis,nukleiinihappo(kval)			FALSE	20	20
3030429	-borrnho			FALSE	245	240
-1	-bparnho			FALSE	13	13
-1	-c-reaktiivinenproteiinipikatesti	mg/l	mg/l	FALSE	8	6
-1	-c19nho			FALSE	9	8
-1	-c6-ind			FALSE	20	19
-1	-c6-ind			TRUE	23	19
-1	-caauvi			FALSE	152	42
3016431	-caio7.4	mmol/l	mmol/l	FALSE	10	10
3021347	-caionac	mmol/l	mmol/l	FALSE	10	10
-1	-calbnho			FALSE	86	80
-1	-calpro	mg/l	mg/l	FALSE	39	39
-1	-cand			FALSE	51	43
-1	-cand-vi			FALSE	32	23
-1	-candida,viljely			FALSE	29	28
-1	-candidaalbicans,nukleiinihappo			FALSE	20	18
-1	-candidaalbicansnho			FALSE	41	37
-1	-candidaparapsilosisnho			FALSE	8	7
3026389	-candvi			FALSE	2057	1602
-1	-cd138-solujeneristysluuydin-taiverinäytteestä			FALSE	21	21
-1	-cd4-solujensuhdecd8-soluihin			TRUE	236	161
3025059	-cdt			TRUE	66	59
3025059	-cdt	mg/l	mg/l	FALSE	16	15
-1	-cea	ug/l	ug/l	FALSE	30	29
-1	-cea			FALSE	12	12
-1	-cenp-a-ab(ib)			FALSE	30	30
-1	-cenp-b-ab(ib)			FALSE	30	30
-1	-chl..trach.janeisser.gonorrh.nukl.happo(kval)			FALSE	7	6
-1	-chl.trach.janeisser.gonorrh,nukl.hapon(kval)			FALSE	97	75
-1	-chlamydiatrachomatis,nukleiinihaponosoitus			FALSE	23	20
-1	-chlamydiatrachomatis,nukleiinihappo(kval)			FALSE	41	33
-1	-chlamydiatrachomatis,nukleiinihappo(kval)(kalmydia)			FALSE	10	6
-1	-chlamydiatrachomatis,nukleiinihappokotona			FALSE	4816	2703
-1	-chlamydiatrachomatis,osoittaminen,			FALSE	28	21
-1	-chlamydiatrachomatis,osoittaminennukleiinihap			FALSE	29	22
-1	-chlamydiatrachomatisjaneisseriagonorrhoeae,nukleiinihappokotona(kval)			FALSE	6639	3643
-1	-chpnab			FALSE	19	15
3031478	-chpnnho			FALSE	734	553
3006093	-chtrnho			FALSE	26057	13720
-1	-cmvhe			FALSE	6	6
3030558	-cmvnh	iu/ml	iu/ml	FALSE	65	48
3030558	-cmvnh			FALSE	259	220
3030558	-cmvnh	u/ml	u/ml	FALSE	12	11
3020229	-cmvnho			FALSE	52	49
-1	-cmvvi			FALSE	10	9
-1	-coinrsv			FALSE	64	58
-1	-colnrsv			FALSE	19	19
-1	-covid-19-koronavirustauti,antigeeni			FALSE	76	67
-1	-covid-19-koronavirustauti,antigeeni,standardq			FALSE	7	7
-1	-covid-19-koronavirustauti,nho-pikatesti(kval)			FALSE	218	202
-1	-covid-19-koronavirustauti,nukleiinihappo(kval)			FALSE	893	787
-1	-covid-19-koronavirustauti,nukleiinihappo(kval)(pi)			FALSE	8	8
-1	-covid-19-koronavirustauti,nukleiinihappo(kval).			FALSE	28	25
-1	-covid-19-koronavirustautinukleiinihappo(kval)			FALSE	16	14
-1	-covid-19-koronavirustesti,nho-pikatesti(kval)			FALSE	46	37
-1	-covidjt			FALSE	41	38
3020460	-crp-pika			FALSE	11	10
3020460	-crp-pika	mg/l	mg/l	FALSE	186	125
3020460	-crppika	mg/l	mg/l	FALSE	167	70
3020460	-crppika			FALSE	31	21
-1	-ctgcnho			FALSE	19436	10394
-1	-ctgcnho,-chtrnho			FALSE	21	17
-1	-ctgcnho,1738osatutkimus			FALSE	13	11
-1	-ctjtnho			FALSE	115	81
-1	-ctngnho			FALSE	129	56
36032419	-cv19ag			FALSE	526	494
36032419	-cv19ag			TRUE	8	8
-1	-cv19ag0			FALSE	3828	3261
36032419	-cv19ag4			FALSE	96	60
36033641	-cv19ag5			FALSE	995	926
706163	-cv19nho			FALSE	140909	78887
-1	-cv19nho-covid-19koronavirustauti,nukleiinihappo(kval)			FALSE	386	341
586526	-cv19pika			FALSE	816	779
-1	-cv19vt			FALSE	70	69
-1	-cyp2b6			FALSE	1450	1403
-1	-cyp2c19			FALSE	1450	1403
-1	-cyp2c9			FALSE	1450	1403
-1	-cyp2d6			FALSE	1450	1403
-1	-cyp3a5			FALSE	1450	1403
