OMOP_CONCEPT_ID	TEST_NAME	MEASUREMENT_UNIT_PREFIX	MEASUREMENT_UNIT	IS_EXTRACTED	MEASUREMENT_VALUE_TYPE	n_records	n_subjects
3007461	b-trom	e9/l	e9/l	FALSE	Source	7894206	462549
3009201	s-tsh	mu/l	mu/l	FALSE	Source	248419	128251
3019900	fp-kol	mmol/l	mmol/l	FALSE	Source	1160365	322950
3048773	fp-trigly	mmol/l	mmol/l	FALSE	Source	1104071	315725
3001308	fp-kol-ldl	mmol/l	mmol/l	FALSE	Source	1258881	329151
3020564	p-krea	umol/l	umol/l	FALSE	Source	7087385	406716
3002385	e-rdw	%	%	FALSE	Source	5838095	349219
3006923	p-alat	u/l	u/l	FALSE	Source	4339401	409416
3007220	p-ck	u/l	u/l	FALSE	Source	260925	120032
3026361	b-eryt	e12/l	e12/l	FALSE	Source	8026167	463658
3024731	e-mcv	fl	fl	FALSE	Source	10019369	470953
3009542	b-hkr		ratio	FALSE	Source	868517	60955
3000963	b-hb	g/l	g/l	FALSE	Source	10047202	470926
3003338	e-mchc	g/l	g/l	FALSE	QCOut	6813807	370867
3035941	e-mch	pg	pg	FALSE	Source	10022310	470770
3010813	b-leuk	e9/l	e9/l	FALSE	Source	7601140	460878
3013707	b-la	mm/h	mm/h	FALSE	Source	1232792	306006
3018251	fp-gluk	mmol/l	mmol/l	FALSE	Source	1527271	374909
3023103	p-k	mmol/l	mmol/l	FALSE	Source	6736995	412757
3019550	p-na	mmol/l	mmol/l	FALSE	Source	6700201	413476
3009201	p-tsh	mu/l	mu/l	FALSE	Source	1315115	310808
3008486	p-t4-v	pmol/l	pmol/l	FALSE	Source	904186	245214
3004410	b-hba1c	mmol/mol	mmol/mol	FALSE	Source	1619586	370695
3032080	p-tt-inr		inr	FALSE	Source	558030	94396
-1	p-meoh	mmol/l	mmol/l	FALSE	Source	316	242
3020191	p-etoh	promille	promille	FALSE	Source	3768	2252
-1	p-etgly	mmol/l	mmol/l	FALSE	Source	298	227
-1	p-ipro	mmol/l	mmol/l	FALSE	Source	297	228
-1	p-progly	mmol/l	mmol/l	FALSE	Source	285	220
-1	p-asetoni	mmol/l	mmol/l	FALSE	Source	171	126
-1	10299	mmol/l	mmol/l	FALSE	Source	25386	6499
-1	11554			FALSE	Source	25385	6498
-1	11564	mmol/l	mmol/l	FALSE	Source	22683	5852
40771025	s-d-25	nmol/l	nmol/l	FALSE	Source	380163	165586
-1	s-ictp	ug/l	ug/l	FALSE	Source	801	575
3049714	s-pinp	ug/l	ug/l	FALSE	Source	3540	1641
-1	fp-pth	ng/l	ng/l	FALSE	Source	121906	29039
3035995	p-afos	u/l	u/l	FALSE	Source	2452549	302825
3025839	p-trigly	mmol/l	mmol/l	FALSE	Source	219531	112741
3019900	p-kol	mmol/l	mmol/l	FALSE	Source	235312	117062
3023602	p-kol-hdl	mmol/l	mmol/l	FALSE	Source	221234	112948
3001308	p-kol-ldl	mmol/l	mmol/l	FALSE	Source	340811	137165
3009508	u-krea	mmol/l	mmol/l	FALSE	Source	389182	120792
3013826	p-gluk	mmol/l	mmol/l	FALSE	Source	1187644	241245
3016771	p-amyl	u/l	u/l	FALSE	Source	342833	127011
3006140	p-bil	umol/l	umol/l	FALSE	Source	1372979	214498
3026910	p-gt	u/l	u/l	FALSE	Source	716550	230901
3024561	p-alb	g/l	g/l	FALSE	Source	870401	172286
3011960	p-bnp	ng/l	ng/l	FALSE	Source	88507	29683
3029187	p-probnp	ng/l	ng/l	FALSE	Source	317468	102335
3016431	s-ca-i7.4	mmol/l	mmol/l	FALSE	Source	45579	14577
3018418	s-ph		ph	FALSE	Source	234489	63875
3021347	s-ca-iona	mmol/l	mmol/l	FALSE	Source	382346	90333
3021337	p-tni	ng/l	ng/l	FALSE	Source	218179	55613
3019977	ab-ph		ph	FALSE	Source	113942	25687
3027801	ab-po2	kpa	kpa	FALSE	Source	391556	48875
3023081	b-hb-co	%	%	FALSE	Source	82147	17084
3027946	ab-pco2	kpa	kpa	FALSE	Source	392179	48912
3007930	b-hb-met	%	%	FALSE	Source	81067	16654
40762366	ab-o2-vol	%	%	FALSE	Source	247130	24275
3003396	ab-be	mmol/l	mmol/l	FALSE	Source	330584	38892
3008152	ab-ahco3	mmol/l	mmol/l	FALSE	Source	102156	19561
3002173	ab-hb	g/l	g/l	FALSE	Source	300765	29008
3016431	ab-ca-i7.4	mmol/l	mmol/l	FALSE	Source	52168	8286
3023103	b-k	mmol/l	mmol/l	FALSE	Source	59422	9339
3019550	b-na	mmol/l	mmol/l	FALSE	Source	59360	9287
3047181	b-laktteh	mmol/l	mmol/l	FALSE	Source	59507	9983
3021347	ab-ca-ion	mmol/l	mmol/l	FALSE	Source	52238	8311
3016502	ab-hbo2sat	%	%	FALSE	Source	123721	26720
3018572	b-cl	mmol/l	mmol/l	FALSE	Source	51262	8022
3039000	b-angap	mmol/l	mmol/l	FALSE	Source	51115	8019
3015399	s-tfr	mg/l	mg/l	FALSE	Source	75736	36806
3051714	p-fidd	mg/l	mg/l	FALSE	Source	116814	65720
3017181	l-myel-m	%	%	FALSE	Source	2679	980
-1	b-erytbl	u/100l	u/100l	FALSE	Source	1291	501
3006504	l-eos-m	%	%	FALSE	Source	7238	2175
3019069	l-baso-m	%	%	FALSE	Source	6645	2009
3019069	l-monos-m	%	%	FALSE	Source	6377	1933
3002030	l-lymf-m	%	%	FALSE	Source	6543	1973
3018010	l-neut-m	%	%	FALSE	Source	7114	2165
3020460	p-crp	mg/l	mg/l	FALSE	Source	3909217	320356
3009542	b-hkr	%	%	FALSE	Source	4824655	323177
3002385	e-erytrosyytit,kokojakauma	%	%	FALSE	Source	117212	23087
3003396	ab-emäsylimäärä	mmol/l	mmol/l	FALSE	Source	9159	3540
3008152	ab-aktuaalibikarbonaatti	mmol/l	mmol/l	FALSE	Source	14350	4290
3002173	ab-hemoglobiini	g/l	g/l	FALSE	Source	10469	2651
3016431	ab-kalsium,ionisoitunut,ph7.4-korjattu	mmol/l	mmol/l	FALSE	Source	9532	2130
3023103	b-kalium	mmol/l	mmol/l	FALSE	Source	10600	2467
3019550	b-natrium	mmol/l	mmol/l	FALSE	Source	10582	2466
-1	b-laktaatti,päivystystutkimus	mmol/l	mmol/l	FALSE	Source	11294	3143
3021347	ab-kalsium,ionisoitunut,eitilattava	mmol/l	mmol/l	FALSE	Source	9534	2131
-1	ab-happikyllästeisyys(hemoglobiini),eitilattava	%	%	FALSE	Source	9563	2150
3014576	b-kloridi	mmol/l	mmol/l	FALSE	Source	9499	2129
3045716	b-anionivaje	mmol/l	mmol/l	FALSE	Source	9462	2127
3022096	l-baso	%	%	FALSE	Source	929195	140236
3006504	l-eos	%	%	FALSE	Source	942600	142313
3006315	b-baso	e9/l	e9/l	FALSE	Source	1025694	189918
3019198	b-ly	e9/l	e9/l	FALSE	Source	784182	156318
3001604	b-monos	e9/l	e9/l	FALSE	Source	965695	183111
3018010	l-neutrofiilit	%	%	FALSE	Source	80744	27961
3002030	l-lymfosyytit	%	%	FALSE	Source	80193	27684
3019069	l-monosyytit	%	%	FALSE	Source	70683	22662
3013115	b-eosinofiilit	e9/l	e9/l	FALSE	Source	51900	20234
