OMOP_CONCEPT_ID	TEST_NAME	MEASUREMENT_UNIT_PREFIX	MEASUREMENT_UNIT	IS_EXTRACTED	MEASUREMENT_UNIT_HARMONIZED	omopQuantity	CONVERSION_FACTOR	n_records	n_subjects
-1	s-gliadiinipeptidi,iggvasta-aineet			FALSE				9	8
-1	s-cdef			FALSE				14	12
-1	kolesteroli,highdensitylipoproteiinit,plasma			FALSE				9	9
-1	b-jak2-geeninmutaatioanalyysi,verestä			FALSE				7	7
-1	p-crp-päi			FALSE				7	6
-1	syto-ih			FALSE				14	14
-1	s-tyreotropiini,elinvasta-aineristireaktio			FALSE				9	9
-1	s-klotsapiini,osatutk.			TRUE				25	9
-1	rr-mittarilainajakotiseuranta			FALSE				37	32
-1	s-hom3abe			FALSE				7	7
-1	s-asflabe			FALSE				6	6
-1	s-asniabe			FALSE				7	7
-1	s-asocabe			FALSE				7	7
-1	s-aspeabe			FALSE				6	6
-1	s-asteabe			FALSE				7	7
-1	s-katkare			TRUE				8	8
40762482	s-rprup3e			FALSE		Arbitrary Concentration		10	10
-1	u-stix-kem			FALSE				8	7
-1	s-koriongonadotropiini-b-alayksikkö			FALSE				9	9
-1	pt-sappig			FALSE				10	10
-1	s-caspek			FALSE				12	12
-1	s-cora1e			FALSE				13	13
-1	s-cora8e			FALSE				14	14
-1	s-dharipi	nmol/l	nmol/l	FALSE				15	13
-1	s-aridhas	nmol/l	nmol/l	FALSE				16	14
-1	b-kreatiniini,natrium,kalium,laboratorionvieritutkimus			FALSE				11	11
-1	s-coxiellaburnetii,iggvasta-aineet			FALSE				17	12
-1	s-coxiellaburnetii,igmvasta-aineet			FALSE				17	12
-1	pt-acthneo			FALSE				26	22
-1	b-dna-8			FALSE				8	7
-1	6697	titre	titre	FALSE				17	8
-1	uf-gcvi			FALSE				7	7
-1	pt-ekg,pitkäaikaisrekisteröinti(24h),kytkentä,analysointi			FALSE				16	16
-1	crpherkkä	mg/l	mg/l	FALSE				21	21
-1	vb-methemoglobiini			TRUE				11	11
-1	du-proteiini(kok.)jatkoa	ml	ml	FALSE				13	13
-1	proteiini,vrk-virtsa			FALSE				15	11
-1	immunoglobuliini,kevyetketjut,kappa,virtsa			FALSE				6	6
-1	immunoglobuliini,kevyetketjut,lambda,virtsa			FALSE				9	9
-1	du-immunoglobuliini,kevyetketjut,lambda	g	g	FALSE				6	6
-1	virtsamäärä,vrk-virtsa	ml	ml	FALSE				25	16
3026692	as-alb	mg/l	mg/l	FALSE	g/l	Mass Concentration	0.001	28	18
-1	b-ghba1cm			FALSE				6	6
-1	s-prlpit	mu/l	mu/l	FALSE				21	20
-1	oma-spirod			FALSE				12	12
-1	s-afos-lsapututkimus	u/l	u/l	FALSE				9	9
-1	s-lis1ba			TRUE				7	7
-1	s-lis1cf			FALSE				13	12
-1	s-lis4ba			FALSE				10	10
-1	s-lis4cf			FALSE				15	14
-1	fl-streptococcusagalactiae(b),nukleiinihappo(kval),emätin			FALSE				12	12
-1	ngs1-geenipaneelitutkimus			FALSE				14	12
-1	s-infliksimabivasta-ainemääritys			FALSE				6	6
-1	ruokaerittely			FALSE				8	8
-1	eosinofiilit,absol.arvot(39b-eos),osatutkimus	e9/l	e9/l	FALSE				14	10
-1	basofiilit,absol.arvot(40b-baso),osatutkimus	e9/l	e9/l	FALSE				14	10
-1	monosyytit,absol.arvot(42b-monos),osatutkimus	e9/l	e9/l	FALSE				14	10
-1	lymfosyytit,absol.arvot(43b-lymf),osatutkimus	e9/l	e9/l	FALSE				14	10
-1	lymfosyytit(46l-lymf),osatutkimus	%	%	FALSE				14	10
-1	l-neut(688l-neut),osatutkimus	%	%	FALSE				14	10
-1	b-neut(689b-neut),osatutkimus	e9/l	e9/l	FALSE				14	10
-1	eosinofiilit(690l-eos),osatutkimus	%	%	FALSE				14	10
-1	monosyytit(693l-monos),osatutkimus	%	%	FALSE				14	10
-1	pu-baktvil			FALSE				15	13
-1	-hbpika			FALSE				18	15
-1	b-myelooinenngs-geenipaneeli,dna-tutkimus			FALSE				21	17
-1	s-puum-abg			FALSE				7	7
-1	braf-geeninmutaatiotutkimus			FALSE				13	13
3025504	du-hva			TRUE		Substance Rate		18	16
-1	b-ca++-v	mmol/l	mmol/l	FALSE				47	42
-1	s-fibrillarin,vasta-aineet			FALSE				13	13
-1	s-gabab1ab			FALSE				12	7
-1	s-äit-seu,s-hivab-gr			FALSE				15	12
-1	s-äit-seu,s-hbsag-gr			FALSE				15	12
-1	s-äit-seu,s-trpa-ab-gr			FALSE				15	12
-1	pt-raskaudenaikaisetbiopankkinäytteet			FALSE				22	22
-1	b-raskaudenaikainendna-biopankkinäyte			FALSE				27	27
-1	b-raskaudenaikainenbiopankkinäyte			FALSE				27	27
-1	u-kokact			FALSE				13	11
3045177	u-cu			TRUE		Substance Concentration		7	7
-1	u-välimuotoisetepiteelisolut			TRUE				15	10
-1	pt-sper-4			FALSE				20	10
-1	immunofenotyypitys,veritauti,(kudos)			FALSE				9	9
-1	fib-4(laskenta)			FALSE				6	6
-1	hematologinenfuusiogeeniseulo			FALSE				10	7
-1	myelooistenverisyöpiengeenim			FALSE				10	9
-1	b-ohbutvt			TRUE				9	7
-1	mycobacteriumtuberculosis,nukleiinihappo(kval),kiire			FALSE				12	8
-1	nokardiaviljely			FALSE				10	9
3029187	p-natriureettinenpeptidi,b-tyypin(32-)			FALSE		Mass Concentration		9	9
3041067	s-ssa-52			TRUE		Arbitrary Concentration		10	9
-1	hb-pikamääritys			FALSE				18	13
-1	keuhkonkudosnäytteenottotietokonetomografiaohjauksessa			FALSE				11	11
-1	elastaasi1,uloste			FALSE				6	6
-1	rintasyövänuusiutumisriski,			FALSE				16	16
-1	b-gla-d			FALSE				12	12
-1	s-timoteg			FALSE				15	12
-1	s-karmese			FALSE				27	19
-1	s-tuosime			FALSE				34	23
-1	astma-test			TRUE				15	14
-1	parasiitituloste			FALSE				8	8
-1	luuytimenkudosnäyte			FALSE				8	7
-1	lisälausunto			FALSE				17	17
-1	u-sper			FALSE				8	7
-1	u-tilav.			FALSE				8	7
