ABBR	UNIT	TOT_COUNT	FRACTION_VALID	DECILE	VALUE
!pak.maitoigavasta-aineet	%	51	1.0	0.0	0.1
!pak.maitoigavasta-aineet	%	51	1.0	0.1	0.4
!pak.maitoigavasta-aineet	%	51	1.0	0.2	0.6
!pak.maitoigavasta-aineet	%	51	1.0	0.3	0.9
!pak.maitoigavasta-aineet	%	51	1.0	0.4	1.0
!pak.maitoigavasta-aineet	%	51	1.0	0.5	1.2
!pak.maitoigavasta-aineet	%	51	1.0	0.6	1.6
!pak.maitoigavasta-aineet	%	51	1.0	0.7	2.7
!pak.maitoigavasta-aineet	%	51	1.0	0.8	3.1
!pak.maitoigavasta-aineet	%	51	1.0	0.9	3.9
!pak.maitoiggvasta-aineet	%	52	1.0	0.0	0.2
!pak.maitoiggvasta-aineet	%	52	1.0	0.1	0.7
!pak.maitoiggvasta-aineet	%	52	1.0	0.2	1.2
!pak.maitoiggvasta-aineet	%	52	1.0	0.3	1.86
!pak.maitoiggvasta-aineet	%	52	1.0	0.4	2.28
!pak.maitoiggvasta-aineet	%	52	1.0	0.5	2.65
!pak.maitoiggvasta-aineet	%	52	1.0	0.6	3.3
!pak.maitoiggvasta-aineet	%	52	1.0	0.7	4.5
!pak.maitoiggvasta-aineet	%	52	1.0	0.8	5.98
!pak.maitoiggvasta-aineet	%	52	1.0	0.9	7.17
!psavapaanjatotaalinsuhde	%	3	1.0	0.0	21.0
!psavapaanjatotaalinsuhde	%	3	1.0	0.1	21.0
!psavapaanjatotaalinsuhde	%	3	1.0	0.2	21.0
!psavapaanjatotaalinsuhde	%	3	1.0	0.3	21.0
!psavapaanjatotaalinsuhde	%	3	1.0	0.4	21.0
!psavapaanjatotaalinsuhde	%	3	1.0	0.5	21.0
!psavapaanjatotaalinsuhde	%	3	1.0	0.6	21.0
!psavapaanjatotaalinsuhde	%	3	1.0	0.7	21.0
!psavapaanjatotaalinsuhde	%	3	1.0	0.8	21.0
!psavapaanjatotaalinsuhde	%	3	1.0	0.9	21.0
-afp	u/ml	1	1.0	0.0	3.0
-afp	u/ml	1	1.0	0.1	3.0
-afp	u/ml	1	1.0	0.2	3.0
-afp	u/ml	1	1.0	0.3	3.0
-afp	u/ml	1	1.0	0.4	3.0
-afp	u/ml	1	1.0	0.5	3.0
-afp	u/ml	1	1.0	0.6	3.0
-afp	u/ml	1	1.0	0.7	3.0
-afp	u/ml	1	1.0	0.8	3.0
-afp	u/ml	1	1.0	0.9	3.0
-alb	g/l	4	1.0	0.0	13.2
-alb	g/l	4	1.0	0.1	13.2
-alb	g/l	4	1.0	0.2	13.2
-alb	g/l	4	1.0	0.3	13.2
-alb	g/l	4	1.0	0.4	14.48
-alb	g/l	4	1.0	0.5	16.4
-alb	g/l	4	1.0	0.6	18.32
-alb	g/l	4	1.0	0.7	19.64
-alb	g/l	4	1.0	0.8	19.76
-alb	g/l	4	1.0	0.9	19.88
