TEST_NAME_ABBREVIATION	source_unit_clean	n_records	n_subjects	p_missing_values	value_percentiles	p_NA_AA_A_LL_L_N_H_HH
p-bil	umol/l	1148566	193460	0	[ 0, 5, 6, 7, 8, 9, 11, 13, 16, 25, 1069,  ]	[ 69][  0, 12,  0,  0, 15,  4,  0]
b-diffmik	NA	10481	3090	100	[ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  ]	[ 98][  0,  0,  0,  0,  2,  0,  0]
l-nst	%	7101	2364	0	[ 0, 0, 0, 0, 0, 1, 1, 1, 2, 5, 42,  ]	[ 92][  0,  8,  0,  0,  0,  0,  0]
l-eos	%	805917	130434	0	[ 0, 0, 1, 1, 2, 2, 3, 3.8, 4, 6, 94,  ]	[ 56][  0, 17,  0,  5, 19,  3,  0]
l-baso	%	793698	128251	0	[ 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 33,  ]	[ 68][  0,  5,  0,  0, 22,  4,  0]
s-vrab-o	NA	259420	108107	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 63][  0,  0,  0,  0, 37,  0,  0]
p-t4-v	pmol/l	756680	226045	0	[ 0.5, 12, 13, 14, 14.5, 15.1, 16, 16.9, 18, 19.5, 150,  ]	[ 70][  0,  5,  0,  1, 23,  1,  0]
s-tygl-va	NA	9085	1427	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 73][  0,  0,  0,  0, 27,  0,  0]
b-eryt	NA	2208446	248850	99	[ 1.52, 3.67, 4, 4.2, 4.38, 4.5, 4.64, 4.79, 4.94, 5.18, 45,  ]	[ 30][  0, 12,  0, 25, 31,  1,  0]
s-havabg	NA	3855	3593	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 75][  0, 22,  0,  0,  4,  0,  0]
s-hbsag	NA	126121	75163	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 82][  0,  0,  0,  0, 18,  0,  0]
fp-gluk	mmol/l	1288220	357590	0	[ 0, 5, 5.3, 5.5, 5.7, 5.8, 6.1, 6.4, 6.9, 7.9, 5166884,  ]	[ 45][  0, 26,  0,  0, 14, 15,  0]
fs-folaat	nmol/l	111428	76598	0	[ 0.9, 7.5, 9.8, 11.9, 14.23, 17, 20.7, 25.7, 32.5, 42.1, 1610.5,  ]	[ 63][  0,  6,  0,  3, 26,  0,  0]
li-borrabm	NA	4908	4587	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 85][  0,  0,  0,  0, 14,  1,  0]
